,id,title,labels,fold
10,11914148,Predictors of refusal to participate: a longitudinal health survey of the elderly in Australia.,Activities of Daily Living	Aged	Australian Capital Territory	Bias (Epidemiology)	Cognition	Community Participation	Cooperative Behavior	Female	Health Surveys	Humans	Intelligence	Interviews as Topic	Longitudinal Studies	Male	Multivariate Analysis	Socioeconomic Factors,4
11,11914138,The probability of cost-effectiveness.,"Bayes Theorem	Cost-Benefit Analysis	Decision Support Techniques	Disease	Economics, Medical	Health Personnel	Humans	Therapeutics",4
12,11929613,The farnesyl transferase inhibitor RPR-130401 does not alter radiation susceptibility in human tumor cells with a K-Ras mutation in spite of large changes in ploidy and lamin B distribution.,"Actins	Alkyl and Aryl Transferases	Blotting, Western	Cell Cycle	Cell Division	Cell Line, Tumor	Farnesyltranstransferase	Genes, ras	Humans	Indoles	Karyotyping	Lamin Type B	Mutation	Ploidies	Radiation	Radiation Tolerance	Tubulin",7
13,11884246,Central effects of clozapine in regulating micturition in anesthetized rats.,"Animals	Antipsychotic Agents	Clozapine	Female	Rats	Rats, Sprague-Dawley	Urethra	Urination",1
14,11879529,The equivalence of numbers: the social value of avoiding health decline: an experimental Web-based study.,Adult	Attitude to Health	Female	Health Priorities	Humans	Internet	Male	Middle Aged	Social Values	Surveys and Questionnaires,6
15,11884247,Can Australian general practitioners effectively screen for diabetic retinopathy? A pilot study.,Australia	Clinical Competence	Diabetic Retinopathy	Family Practice	Humans	Pilot Projects	Sensitivity and Specificity,5
16,11914156,The role of soil factors and leaf protein in the utilization of mopane plants by elephants in northern Botswana.,"Animals	Botswana	Diet, Vegetarian	Ecosystem	Elephants	Energy Intake	Environment	Fabaceae	Feeding Behavior	Nitrogen	Plant Leaves	Plant Proteins	Population Dynamics	Soil",7
17,11914161,A randomised controlled trial of a patient based Diabetes Recall and Management System: the DREAM trial: a study protocol [ISRCTN32042030].,"Database Management Systems	Diabetes Mellitus	Efficiency, Organizational	England	Evidence-Based Medicine	Family Practice	Guideline Adherence	Humans	Medical Audit	Patient Compliance	Preventive Health Services	Primary Health Care	Quality Assurance, Health Care	Registries	Reminder Systems",1
18,11914149,Giardiasis in children living in post-earthquake camps from Armenia (Colombia).,"Adolescent	Child	Child, Preschool	Colombia	Disasters	Feces	Giardiasis	Humans	Prevalence	Public Housing	Surveys and Questionnaires	Survivors	Toilet Facilities	Water Supply",6
19,11943068,Immunity status against poliomyelitis in Germany: determination of cut-off values in International Units.,"Adolescent	Adult	Age Factors	Aged	Antibodies, Viral	Disease Susceptibility	Female	Germany	Humans	Immunity, Innate	Immunization Schedule	International System of Units	Male	Mathematical Computing	Middle Aged	Neutralization Tests	Poliomyelitis	Poliovirus	Poliovirus Vaccines	Population Surveillance	Reference Standards	Sex Factors",3
20,11914136,T Wave Alternans in high arrhythmic risk patients: analysis in time and frequency domains: a pilot study.,"Arrhythmias, Cardiac	Cardiac Output, Low	Defibrillators, Implantable	Electrocardiography	Humans	Myocardial Infarction	Myocardial Ischemia	Pilot Projects",7
21,11914157,Salmon-derived nitrogen in terrestrial invertebrates from coniferous forests of the Pacific Northwest.,Analysis of Variance	Animals	British Columbia	Coniferophyta	Ecosystem	Environment	Food Chain	Geologic Sediments	Invertebrates	Nitrogen	Northwestern United States	Nutritive Value	Salmon	Trees,3
22,11914135,Antinociceptive and anti-inflammatory effects of Crocus sativus L. stigma and petal extracts in mice.,"Analgesics	Animals	Anti-Inflammatory Agents	Crocus	Disease Models, Animal	Edema	Female	Flowers	Male	Medicine, Traditional	Mice	Pain	Pain Measurement	Plant Extracts	Rats	Rats, Wistar",1
23,11914124,CCAAT/enhancer binding protein alpha uses distinct domains to prolong pituitary cells in the growth 1 and DNA synthesis phases of the cell cycle.,"Animals	CCAAT-Enhancer-Binding Protein-alpha	Cell Cycle Proteins	Cell Line, Transformed	Centromere	DNA	G1 Phase	Gene Targeting	Green Fluorescent Proteins	Luminescent Proteins	Mice	Pituitary Gland	Protein Interaction Mapping	Protein Structure, Tertiary	Recombinant Fusion Proteins	S Phase	Stem Cells	Transcriptional Activation",0
24,11914154,Treatment of disseminated granuloma annulare with fumaric acid esters.,Adult	Dermatologic Agents	Female	Fumarates	Granuloma Annulare	Humans,7
25,11914125,The new anti-actin agent dihydrohalichondramide reveals fenestrae-forming centers in hepatic endothelial cells.,"Actins	Animals	Cell Membrane Permeability	Dose-Response Relationship, Drug	Endothelium	Heterocyclic Compounds, 4 or More Rings	Intracellular Membranes	Liver	Macrolides	Male	Marine Toxins	Microscopy, Electron	Microscopy, Electron, Scanning	Microscopy, Fluorescence	Permeability	Rats	Rats, Wistar	Time Factors",6
26,11914143,Chromosomal aberrations in benign and malignant bilharzia-associated bladder lesions analyzed by comparative genomic hybridization.,"Animals	Chromosome Aberrations	DNA, Neoplasm	Female	Granuloma	Humans	In Situ Hybridization, Fluorescence	Male	Nucleic Acid Hybridization	Paraffin Embedding	Schistosoma	Schistosomiasis	Urinary Bladder Neoplasms	Urinary Tract Infections",8
27,11914153,Is endosonography an effective method for detection and local staging of the ampullary carcinoma? A prospective study.,"Adult	Aged	Aged, 80 and over	Ampulla of Vater	Biopsy	Common Bile Duct Neoplasms	Endosonography	Female	Humans	Male	Middle Aged	Neoplasm Staging	Prospective Studies	Sensitivity and Specificity	Tomography, X-Ray Computed",8
28,11914155,"Rhodococcus erythropolis ATCC 25544 as a suitable source of cholesterol oxidase: cell-linked and extracellular enzyme synthesis, purification and concentration.",Cholesterol Oxidase	Detergents	Fermentation	Industrial Microbiology	Polyethylene Glycols	Rhodococcus,3
29,11945179,Methylation and silencing of the retinoic acid receptor-beta 2 gene in cervical cancer.,"5' Untranslated Regions	Carcinoma, Squamous Cell	DNA Methylation	Female	Gene Expression Regulation, Neoplastic	Gene Silencing	Genes, Tumor Suppressor	HeLa Cells	Humans	Neoplasm Invasiveness	Neoplasm Staging	RNA, Messenger	RNA, Neoplasm	Receptors, Retinoic Acid	Restriction Mapping	Tumor Cells, Cultured	Uterine Cervical Neoplasms",3
30,11914164,Inter-rater agreement in the scoring of abstracts submitted to a primary care research conference.,"Abstracting and Indexing as Topic	Congresses as Topic	Consensus	Data Interpretation, Statistical	Humans	Judgment	Manuscripts, Medical	Observer Variation	Peer Review, Research	Primary Health Care	United Kingdom",8
31,11918829,PISA. The effect of paracetamol (acetaminophen) and ibuprofen on body temperature in acute stroke: protocol for a phase II double-blind randomised placebo-controlled trial [ISRCTN98608690].,"Acetaminophen	Anti-Inflammatory Agents, Non-Steroidal	Body Temperature	Clinical Trials, Phase II as Topic	Feasibility Studies	Fever	Humans	Ibuprofen	Randomized Controlled Trials as Topic	Stroke",6
32,11943073,Diclofenac does not interact with codeine metabolism in vivo: a study in healthy volunteers.,"Adult	Anti-Inflammatory Agents, Non-Steroidal	Codeine	Cross-Over Studies	Diclofenac	Double-Blind Method	Drug Interactions	Humans	Male	Narcotics",5
33,11943071,"Potential antimutagenic activity of berberine, a constituent of Mahonia aquifolium.","Animals	Antimutagenic Agents	Berberine	Dose-Response Relationship, Drug	Euglena gracilis	Mahonia	Phytotherapy	Plant Bark	Plant Extracts",2
34,11943069,The Caenorhabditis elegans Y87G2A.14 Nudix hydrolase is a peroxisomal coenzyme A diphosphatase.,"Amino Acid Sequence	Animals	Caenorhabditis elegans	Cloning, Molecular	Coenzyme A	Kinetics	Molecular Sequence Data	Peroxisomes	Pyrophosphatases	Sequence Alignment	Substrate Specificity",0
35,11914133,Production of diamino propionic acid ammonia lyase by a new strain of Salmonella typhimurium PU011.,"Ammonia-Lyases	Animals	Biomass	Female	Hydrogen-Ion Concentration	Kinetics	Mice	Mice, Inbred BALB C	Salmonella Food Poisoning	Salmonella Infections, Animal	Salmonella typhimurium	Species Specificity	Temperature	Virulence",5
36,11945178,Evaluation of amplified rDNA restriction analysis (ARDRA) for the identification of cultured mycobacteria in a diagnostic laboratory.,"Bacterial Typing Techniques	DNA, Bacterial	Humans	Mass Screening	Mycobacteriaceae	Mycobacterium tuberculosis	RNA, Ribosomal, 16S	Random Amplified Polymorphic DNA Technique	Species Specificity	Tuberculosis",3
37,11914126,Hedgehog signal transduction proteins: contacts of the Fused kinase and Ci transcription factor with the kinesin-related protein Costal2.,Animals	Binding Sites	DNA-Binding Proteins	Drosophila Proteins	Glutathione Transferase	Hedgehog Proteins	Kinesin	Peptide Fragments	Protein Interaction Mapping	Protein-Serine-Threonine Kinases	Recombinant Fusion Proteins	Signal Transduction	Transcription Factors	Two-Hybrid System Techniques	Zinc Fingers,2
38,11914144,Delta-aminolevulinic acid cytotoxic effects on human hepatocarcinoma cell lines.,"Aminolevulinic Acid	Carcinoma, Hepatocellular	Cell Cycle	DNA Fragmentation	DNA, Neoplasm	Dose-Response Relationship, Drug	Glucose	Hemin	Humans	Liver Neoplasms	Tetrazolium Salts	Thiazoles	Tumor Cells, Cultured	Tumor Suppressor Protein p53",8
39,11914150,"Adverse effects of the antimalaria drug, mefloquine: due to primary liver damage with secondary thyroid involvement?",Acute Disease	Antimalarials	Chemical and Drug Induced Liver Injury	Drug Interactions	Hepatocytes	Humans	Liver Diseases	Malaria	Mefloquine	Safety	Thyroid Diseases,7
40,11914128,Phylogenetic relationships between Hapalemur species and subspecies based on mitochondrial DNA sequences.,"Animals	Base Sequence	Cytochrome b Group	DNA, Mitochondrial	Lemuridae	Madagascar	Phylogeny	RNA, Ribosomal",4
41,11934354,Genetically modified parthenocarpic eggplants: improved fruit productivity under both greenhouse and open field cultivation.,"Angiosperms	Food Industry	Food, Genetically Modified	Fruit	Genes, Bacterial	Mixed Function Oxygenases	Parthenogenesis	Plants, Genetically Modified	Promoter Regions, Genetic	Pseudomonas	Recombinant Fusion Proteins	Seasons	Solanum melongena",7
42,11914127,Sequence permutations in the molecular evolution of DNA methyltransferases.,"Amino Acid Sequence	DNA Modification Methylases	Evolution, Molecular	Gene Duplication	Gene Rearrangement	Models, Molecular	Molecular Sequence Data	Protein Structure, Tertiary	Recombination, Genetic	Sequence Alignment",7
43,11922866,Respiratory syncytial virus and TNF alpha induction of chemokine gene expression involves differential activation of Rel A and NF-kappa B1.,"Acetylcysteine	Antiviral Agents	Chemokines	Dexamethasone	Free Radical Scavengers	Gene Expression Regulation, Neoplastic	Glucocorticoids	Humans	Lung Neoplasms	NF-kappa B	Oxidation-Reduction	Respiratory Syncytial Viruses	Signal Transduction	Tumor Cells, Cultured	Tumor Necrosis Factor-alpha",6
44,11914160,Electroacupuncture versus diclofenac in symptomatic treatment of osteoarthritis of the knee: a randomized controlled trial.,"Acetaminophen	Adult	Analysis of Variance	Anti-Inflammatory Agents, Non-Steroidal	Arthralgia	Combined Modality Therapy	Diclofenac	Electroacupuncture	Female	Humans	Male	Osteoarthritis, Knee	Pain Measurement	Single-Blind Method",8
45,11914158,Glucosinolate breakdown products as insect fumigants and their effect on carbon dioxide emission of insects.,"Allyl Compounds	Animals	Biodegradation, Environmental	Carbon Dioxide	Crambe Plant	Fumigation	Houseflies	Insecticides	Insects	Isocyanates	Isothiocyanates	Lethal Dose 50	Nematoda	Pest Control, Biological	Thiocyanates",9
46,11960552,Transforming growth factor-beta1 blocks the enhancement of tumor necrosis factor cytotoxicity by hyaluronidase Hyal-2 in L929 fibroblasts.,Animals	Antineoplastic Agents	Apoptosis	Base Sequence	COS Cells	Cell Adhesion Molecules	Cell Division	Cell Line	Fibroblasts	GPI-Linked Proteins	Hyaluronoglucosaminidase	Mice	Mitochondria	Molecular Sequence Data	NF-kappa B	Oxidoreductases	Protein Transport	Staurosporine	Transforming Growth Factor beta	Transforming Growth Factor beta1	Tumor Necrosis Factor-alpha,5
47,11914130,Multiple telophase arrest bypassed (tab) mutants alleviate the essential requirement for Cdc15 in exit from mitosis in S. cerevisiae.,"Cell Cycle Proteins	Cell Nucleolus	Cell Nucleus	Chromosome Aberrations	Chromosomes, Fungal	Cyclin B	Cyclin-Dependent Kinase Inhibitor Proteins	Fungal Proteins	GTP-Binding Proteins	Mitosis	Mutation	Phenotype	Protein Processing, Post-Translational	Protein Tyrosine Phosphatases	Saccharomyces cerevisiae	Saccharomyces cerevisiae Proteins",5
48,11914163,Outcomes research in the development and evaluation of practice guidelines.,"Biomedical Research	Chronic Disease	Confounding Factors (Epidemiology)	Data Collection	Databases as Topic	Epidemiologic Methods	Evaluation Studies as Topic	Humans	Outcome Assessment (Health Care)	Practice Guidelines as Topic	Practice Patterns, Physicians'	Selection Bias	Treatment Outcome	Uncertainty",8
49,11914132,Auto-protective redox buffering systems in stimulated macrophages.,Animals	Buffers	Cell Line	Interferon-alpha	Lipopolysaccharides	Macrophage Activation	Macrophages	Mice	Nitric Oxide	Oxidation-Reduction	Reactive Oxygen Species,3
50,11985779,The evolutionary position of nematodes.,"Animals	Bias (Epidemiology)	Caenorhabditis elegans	Drosophila melanogaster	Evolution, Molecular	Humans	Models, Biological	Mutation	Nuclear Proteins	Phylogeny",5
51,11914162,Organization specific predictors of job satisfaction: findings from a Canadian multi-site quality of work life cross-sectional survey.,"Adult	Attitude of Health Personnel	Communication	Community Health Centers	Community Health Nursing	Decision Making, Organizational	Delivery of Health Care, Integrated	Female	Forecasting	Hospitals, Community	Humans	Job Satisfaction	Logistic Models	Male	Middle Aged	Ontario	Patient Care Team	Personnel Management	Residential Facilities	Surveys and Questionnaires",3
52,11914140,Gastric adenocarcinoma in a patient re-infected with H. pylori after regression of MALT lymphoma with successful anti-H. pylori therapy and gastric resection: a case report.,"Adenocarcinoma	Adult	Anti-Bacterial Agents	Combined Modality Therapy	Gastrectomy	Helicobacter Infections	Helicobacter pylori	Humans	Lymphoma, B-Cell, Marginal Zone	Male	Recurrence	Stomach	Stomach Neoplasms",6
53,12022922,Identification of protein tyrosine phosphatase 1B and casein as substrates for 124-v-Mos.,"Animals	Binding Sites	Caseins	Cell Line	Peptide Fragments	Phosphorylation	Protein Tyrosine Phosphatase, Non-Receptor Type 1	Protein Tyrosine Phosphatases	Protein-Serine-Threonine Kinases	Proto-Oncogene Proteins c-mos	Recombinant Fusion Proteins	Substrate Specificity	Tubulin	Vimentin",5
54,11929612,RNA:(guanine-N2) methyltransferases RsmC/RsmD and their homologs revisited--bioinformatic analysis and prediction of the active site based on the uncharacterized Mj0882 protein structure.,"Archaeal Proteins	Binding Sites	Computational Biology	Crystallography, X-Ray	Escherichia coli Proteins	Evolution, Molecular	Guanine	Methanococcus	Methyltransferases	Models, Molecular	Molecular Structure	Predictive Value of Tests	Protein Folding	Protein Structure, Tertiary	Sequence Alignment	Sequence Homology, Nucleic Acid	tRNA Methyltransferases",3
55,11936956,First isolation of the enterohaemorrhagic Escherichia coli O145:H- from cattle in feedlot in Argentina.,Animal Feed	Animals	Argentina	Cattle	Escherichia coli O157	Hemorrhage	Random Amplified Polymorphic DNA Technique	Serotyping	Shiga Toxins	Virulence,1
56,11914139,Primary biliary cirrhosis and autoimmune cholangitis are not associated with coeliac disease in Crete.,"Adult	Aged	Aged, 80 and over	Autoantibodies	Autoimmune Diseases	Celiac Disease	Cholangitis	Chronic Disease	False Positive Reactions	Female	Gliadin	Greece	Humans	Immunoglobulin A	Liver Cirrhosis, Biliary	Male	Middle Aged	Myosins	Reticulin	Transglutaminases",9
57,11914134,Subunit modification and association in VR1 ion channels.,"Amino Acid Substitution	Animals	Calcium	Capsaicin	Dimerization	Dose-Response Relationship, Drug	Electrophoresis, Polyacrylamide Gel	Enzyme Inhibitors	Glycosylation	Hydrogen-Ion Concentration	Molecular Weight	Mutagenesis, Site-Directed	Oocytes	Patch-Clamp Techniques	Protein Binding	Protein Subunits	Receptors, Drug	Temperature	Xenopus laevis",8
58,11936958,Selecting information technology for physicians' practices: a cross-sectional study.,"Computer Communication Networks	Cross-Sectional Studies	Data Collection	Decision Support Techniques	Group Practice	Humans	Logistic Models	Oregon	Personnel Staffing and Scheduling Information Systems	Practice Patterns, Physicians'	Predictive Value of Tests	Private Practice	Software",2
59,11914129,Evidence for the adaptive significance of an LTR retrotransposon sequence in a Drosophila heterochromatic gene.,"Animals	Base Sequence	Cathepsin D	Chitinases	Drosophila	Drosophila melanogaster	Evolution, Molecular	Gene Components	Genes, Insect	Heterochromatin	Introns	Molecular Sequence Data	Polymorphism, Genetic	Retroelements	Sequence Alignment	Terminal Repeat Sequences",2
60,11926968,High-susceptibility of photosynthesis to photoinhibition in the tropical plant Ficus microcarpa L. f. cv. Golden Leaves.,Carbon Dioxide	Chlorophyll	Ficus	Genotype	Oxygen	Photosynthesis	Photosystem II Protein Complex	Plant Leaves,5
61,1542234,"A ""pennurth of arsenic for rat poison"": the Arsenic Act, 1851 and the prevention of secret poisoning.","Animals	Arsenic Poisoning	Commerce	England	History, 19th Century	Humans	Legislation, Drug	Poisoning	Rats	Rodent Control	Societies, Medical",2
62,11945180,Systematic quantitative overviews of the literature to determine the value of diagnostic tests for predicting acute appendicitis: study protocol.,"Appendicitis	Diagnostic Techniques, Digestive System	Humans	Meta-Analysis as Topic	Review Literature as Topic",6
63,11955289,Is primary care ready to take on Attention Deficit Hyperactivity Disorder?,"Adolescent	Adult	Attention Deficit Disorder with Hyperactivity	Child	Clinical Protocols	Guidelines as Topic	Health Knowledge, Attitudes, Practice	Health Planning	Humans	Primary Health Care	United Kingdom",7
64,11943070,Detection of fast light-activated H+ release and M intermediate formation from proteorhodopsin.,"Cysteine	Electrophoresis, Polyacrylamide Gel	Hydrogen-Ion Concentration	Ion Transport	Kinetics	Light	Molecular Weight	Mutation	Proton Pumps	Protons	Rhodopsin	Rhodopsins, Microbial	Spectrum Analysis",6
65,11931673,Aminoadipate reductase gene: a new fungal-specific gene for comparative evolutionary analyses.,"Aldehyde Oxidoreductases	Animals	Evolution, Molecular	Fungi	Gene Dosage	Genes, Fungal	L-Aminoadipate-Semialdehyde Dehydrogenase	Molecular Sequence Data	Phylogeny	Species Specificity",4
66,11978182,Are the cochrane group registers comprehensive? A case study of Japanese psychiatry trials.,Antidepressive Agents	Antipsychotic Agents	Communication Barriers	Depression	Humans	Japan	Language	Meta-Analysis as Topic	Psychiatry	Publication Bias	Randomized Controlled Trials as Topic	Registries	Schizophrenia,7
67,11936957,Effect of interlukin-1beta on proliferation of gastric epithelial cells in culture.,"Cell Count	Cell Division	Cell Transformation, Neoplastic	DNA	Dose-Response Relationship, Drug	Epithelial Cells	Gastric Mucosa	Granulocyte-Macrophage Colony-Stimulating Factor	Helicobacter Infections	Helicobacter pylori	Humans	Interleukin-1	Mitogen-Activated Protein Kinase Kinases	Protein-Tyrosine Kinases	Receptors, Interleukin-1	Stomach Neoplasms	Thymidine	Tumor Cells, Cultured",5
68,11934351,Pre-dialysis clinic attendance improves quality of life among hemodialysis patients.,Episode of Care	Humans	Patient Care Team	Quality of Life	Renal Dialysis	Retrospective Studies,1
69,11934353,Lens epithelial cell apoptosis and intracellular Ca2+ increase in the presence of xanthurenic acid.,"Apoptosis	Blotting, Western	Calcium	Calpain	Caspase 3	Caspases	Cells, Cultured	Cytochromes c	Dose-Response Relationship, Drug	Enzyme Activation	Epithelial Cells	Fluorescent Antibody Technique, Indirect	Gelsolin	Humans	Hypolipidemic Agents	Lens, Crystalline	Middle Aged	Mitochondria	Tissue Donors	Xanthurenates",1
70,11960556,Advanced analysis of a cryptochrome mutation's effects on the robustness and phase of molecular cycles in isolated peripheral tissues of Drosophila.,"5' Flanking Region	Animals	Circadian Rhythm	Cryptochromes	Drosophila Proteins	Drosophila melanogaster	Eye Proteins	Flavoproteins	Gene Expression Regulation	Genes, Reporter	Insect Proteins	Luciferases	Mutation	Nuclear Proteins	Organ Specificity	Period Circadian Proteins	Periodicity	Photoperiod	Photoreceptor Cells, Invertebrate	Receptors, G-Protein-Coupled	Temperature",1
71,11926967,Down-regulation of the alpha-2C adrenergic receptor: involvement of a serine/threonine motif in the third cytoplasmic loop.,"Adrenergic alpha-Agonists	Amino Acid Sequence	Animals	CHO Cells	Cricetinae	Down-Regulation	Eye Proteins	G-Protein-Coupled Receptor Kinase 1	Humans	Molecular Sequence Data	Mutagenesis, Site-Directed	Norepinephrine	Phosphorylation	Protein Kinases	Protein Structure, Tertiary	Receptors, Adrenergic, alpha-2	Species Specificity",8
72,11960558,"2, 4-diamino-6- hydroxy pyrimidine inhibits NSAIDs induced nitrosyl-complex EPR signals and ulcer in rat jejunum.","Animals	Anti-Inflammatory Agents, Non-Steroidal	Butanones	Cell Membrane Permeability	Electron Spin Resonance Spectroscopy	Electron Transport	Hypoxanthines	Jejunal Diseases	Nitric Oxide	Rats	Rats, Sprague-Dawley	Submitochondrial Particles	Ulcer",9
73,11985780,Multi site polyadenylation and transcriptional response to stress of a vacuolar type H+-ATPase subunit A gene in Arabidopsis thaliana.,"Alternative Splicing	Arabidopsis	Base Sequence	Blotting, Northern	Blotting, Southern	Cold Temperature	DNA, Plant	Gene Expression Regulation, Enzymologic	Isoenzymes	Light	Molecular Sequence Data	Poly A	Protein Subunits	RNA, Plant	Sodium Chloride	Transcription, Genetic	Vacuolar Proton-Translocating ATPases",7
74,8936059,"A study of maternal mortality and midwifery on the Isle of Man, 1882 to 1961.","Female	History, 19th Century	History, 20th Century	Humans	Maternal Mortality	Midwifery	Pregnancy	United Kingdom",7
75,15736975,Perceptual and neural olfactory similarity in honeybees.,"Afferent Pathways	Alcohols	Aldehydes	Animals	Bees	Conditioning, Classical	Odorants	Olfactory Pathways	Perception	Reward	Social Behavior	Sucrose",9
76,15723116,Principles of microRNA-target recognition.,3' Untranslated Regions	5' Untranslated Regions	Animals	Binding Sites	Gene Expression Regulation	MicroRNAs	Molecular Sequence Data	Plants	Protein Biosynthesis,5
77,15736976,Recombination difference between sexes: a role for haploid selection.,"Animals	Chromosome Mapping	Crosses, Genetic	Female	Haploidy	Male	Models, Genetic	Plants	Recombination, Genetic	Sex Chromosomes",2
78,15736977,Engineering gene networks to emulate Drosophila embryonic pattern formation.,"Animals	Body Patterning	Drosophila	Embryo, Nonmammalian	Gene Expression Regulation	Genetic Engineering	Models, Biological	Morphogenesis	Transcription, Genetic",5
79,15736978,Recent origin and cultural reversion of a hunter-gatherer group.,"Chromosomes, Human, Y	DNA, Mitochondrial	Ethnic Groups	Evolution, Molecular	Genetic Variation	Humans	Language	Life Style	Male	Population Groups	Social Behavior	Thailand",4
80,15736979,Modeling the mutualistic interactions between tubeworms and microbial consortia.,"Animals	Annelida	Caribbean Region	Female	Geologic Sediments	Male	Methane	Models, Biological	Oviducts	Population Growth	Seawater	Spermatozoa	Sulfates	Sulfides	Symbiosis",7
81,15736980,Location coding by opponent neural populations in the auditory cortex.,"Acoustic Stimulation	Animals	Auditory Cortex	Brain Mapping	Cats	Models, Animal	Models, Neurological	Neurons	Sound Localization",4
82,15736981,Grasping the intentions of others with one's own mirror neuron system.,Adult	Brain	Brain Mapping	Comprehension	Empathy	Female	Functional Laterality	Hand Strength	Humans	Male	Motor Neurons	Nerve Net	Neurons	Reference Values	Video Recording,7
83,15737020,Cell-by-cell dissection of gene expression and chromosomal interactions reveals consequences of nuclear reorganization.,Animals	Cell Nucleus	Cell Physiological Phenomena	Chromosomes	Drosophila	Eye	Gene Expression Regulation	Heterochromatin,4
84,15737062,Highly nonrandom features of synaptic connectivity in local cortical circuits.,Animals	Cell Communication	In Vitro Techniques	Neural Pathways	Neuronal Plasticity	Neurons	Rats	Signal Transduction	Synapses	Visual Cortex,2
85,15737063,Dissociation of cohesin from chromosome arms and loss of arm cohesion during early mitosis depends on phosphorylation of SA2.,"Amino Acid Substitution	Anaphase	Antigens, Nuclear	Cell Cycle Proteins	Chromosomal Proteins, Non-Histone	Chromosomes, Human	Fungal Proteins	HeLa Cells	Humans	Mitosis	Molecular Sequence Data	Nuclear Proteins	Phosphoproteins	Phosphorylation	Saccharomyces cerevisiae Proteins	Sister Chromatid Exchange",3
86,15737064,Shugoshin prevents dissociation of cohesin from centromeres during mitosis in vertebrate cells.,"Amino Acid Sequence	Anaphase	Animals	Base Sequence	Cell Cycle Proteins	Centromere	Chromosomal Proteins, Non-Histone	DNA Primers	Fungal Proteins	HeLa Cells	Humans	Mice	Mitosis	Molecular Sequence Data	Nuclear Proteins	Peptide Fragments	Proteins	RNA, Small Interfering	Sister Chromatid Exchange",8
87,15737065,Predictive spatial dynamics and strategic planning for raccoon rabies emergence in Ohio.,"Animals	Centers for Disease Control and Prevention (U.S.)	Ecosystem	Models, Biological	North America	Ohio	Population Dynamics	Rabies	Raccoons	Stochastic Processes	United States",6
